IDRSSD,RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD6164,RCFD6165,RCFDA590,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK192,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TEXT4087,
37640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184288,33,0,179025,193,52526,,0,0,0,0,33,28358,3,193,true,0,253,0,0,50000,0,50000,253,596,576,1101,0,2526,true,true,,5070,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.germanamerican.com,
37659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,1659,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http://www.fsballen.com,
37949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,0,0,443,0,3000,,0,0,0,0,0,57,0,0,,,0,0,0,3000,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,https://www.bankofrantoul.bank,
38740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,464,0,0,0,42286,,0,0,0,0,464,2836,1,0,,,0,0,14000,18000,10000,0,0,48,0,238,0,286,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.ocsbank.com,
39327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,392,0,0,0,0,,392,0,0,0,0,45765,7,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,www.taylorbank.mortgagewebcenter.com,Taylor Bank,,,,,,,,,,,,,,,www.taylorbank.com,
39756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,6395,49,0,9929,,0,0,0,0,0,34574,4,0,false,0,0,6395,770,2764,0,0,0,0,0,0,0,0,true,false,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.nbc.bank,
40033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,471,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.richtonbank.com,
40499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106387,0,200987,59042,46209,619372,,0,0,0,0,0,300,0,46209,true,0,175000,370987,40000,32326,1059,170000,175000,0,0,0,0,175000,true,false,0,1136,0,,,,,3,242,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.harborone.com,
40855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,5000,0,0,10264,,0,0,0,0,0,1465,1,0,,,0,5000,3000,2000,0,0,0,0,0,264,0,0,,,,200,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,https://www.esbbanking.com,
41553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fsbanadarko.bank,
41629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,0,0,360,0,50500,,0,0,0,0,0,2430,2,0,,,28000,0,0,22500,0,0,28000,0,0,0,0,28000,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.pioneerbks.com,
41825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657,0,0,1657,0,65000,,0,0,0,0,0,15917,2,0,false,0,50000,0,0,15000,0,0,50000,0,0,0,0,50000,true,false,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.mvbbank.com,
42037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,185,0,0,0,0,,0,0,185,0,0,2381,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.peb.bank,
42354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,34,10000,0,0,10000,,0,0,34,0,0,5674,2,0,,,0,10000,0,0,0,0,0,0,0,0,0,0,,,0,313,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http://cnbbrady.com,
42372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000,0,0,10000,,0,0,0,0,0,1367,1,0,,,0,10000,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,1,true,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.ffsb-nc.com,
42420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379710,484,0,358571,98,524355,,0,0,425,0,59,43104,4,98,true,0,516000,0,0,1779,1963,0,516000,0,0,4613,0,520613,true,true,0,21041,0,,,,,16,166,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fcbanking.com,
