IDRSSD,RCFD0010,RCFD0022,RCFD0070,RCFD0082,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,
,CASH AND DUE FROM DEPOSITORIES,CASH & CASH ITEMS IN PROCESS OF COLL,BALANCES WITH BKS IN FGN COUNTRIES,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,CASH AND DUE FROM DEPOSITORIES,CASH ITEMS IN PROCESS OF COLLECTION,BALANCES WITH BKS IN FGN COUNTRIES,CURR&COIN (U.S. & FGN) VAULT CASH,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,
100236,,,,,,,,,,,,
100357,,,,,,,,,,,,
100562,,,,,,206554,38057,0,38698,4583,125216,
100777,,,,,,,,,,,,
100843,,,,,,,,,,,,
101037,,,,,,,,,,,,
101439,,,,,,,,,,,,
101671,,,,,,37815,4,0,5064,7515,25232,
101738,,,,,,,,,,,,
101952,,,,,,,,,,,,
102333,,,,,,,,,,,,
102342,,,,,,,,,,,,
102557,,,,,,,,,,,,
102874,,,,,,,,,,,,
103134,,,,,,,,,,,,
104234,,,,,,,,,,,,
104542,,,,,,,,,,,,
104971,,,,,,,,,,,,
105026,,,,,,,,,,,,
105473,,,,,,,,,,,,
105530,,,,,,,,,,,,
106359,,,,,,60767,25691,0,23482,7550,4044,
106452,,,,,,,,,,,,
106676,,,,,,,,,,,,
107244,,,,,,2568812,1732,0,80306,151203,2335571,
107570,,,,,,,,,,,,
107758,,,,,,,,,,,,
108072,,,,,,,,,,,,
108269,,,,,,,,,,,,
108652,,,,,,,,,,,,
108746,,,,,,,,,,,,
108951,,,,,,,,,,,,
109136,,,,,,,,,,,,
109154,,,,,,,,,,,,
109453,,,,,,,,,,,,
109574,,,,,,,,,,,,
109659,,,,,,,,,,,,
110413,,,,,,1351572,0,0,3221,456162,892189,
110936,,,,,,,,,,,,
110945,,,,,,,,,,,,
