IDRSSD,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,
,"Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Held to Maturity Securities, Securit","Held to Maturity Securities, Mortgag","Held to Maturity Securities, Asset b","Held to Maturity Securities, Other d","Held to Maturity Securities, Total","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Held to Maturity Securities, Securit","Held to Maturity Securities, Mortgag","Held to Maturity Securities, Asset b","Held to Maturity Securities, Other d","Held to Maturity Securities, Total",
617079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618807,,,,,,,,,,,,,,,,,,,,,443962,1806775,2415106,766856,0,189471,5622170,4609,34347,13330,8610,0,2400,1349,64645,0,0,0,0,0,
619701,,,,,,,,,,,,,,,,,,,,,91312,569461,606943,872530,0,5539,2145785,716,7868,2306,10287,0,19,0,21196,0,0,0,0,0,
619859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619877,0,0,2025000,0,16529000,25121000,43675000,0,0,7000,0,1014000,532000,0,1553000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
621151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622774,,,,,,,,,,,,,,,,,,,,,358289,545924,204830,104263,2257,13957,1229520,10680,16273,6106,3108,67,416,0,36650,0,0,0,0,0,
623052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624778,,,,,,,,,,,,,,,,,,,,,10438,8134,642004,0,0,2584,663160,201,32,1260,0,0,137,0,1630,0,0,0,0,0,
624956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625654,,,,,,,,,,,,,,,,,,,,,129184,669671,254474,308354,0,6626,1368309,1615,8238,3154,3669,0,103,-141,16638,0,0,0,0,0,
625757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626101,,,,,,,,,,,,,,,,,,,,,83735,297487,856155,90332,0,623,1328332,3363,7006,5691,1249,0,2,2579,19890,0,0,0,0,0,
627108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631422,,,,,,,,,,,,,,,,,,,,,129686,266820,220751,97424,2742,62278,779701,632,2900,2957,885,268,764,0,8406,1,0,0,0,1,
631570,,,,,,,,,,,,,,,,,,,,,2748,83636,972228,1367,0,65,1060044,98,66,6891,10,0,0,0,7065,0,0,0,0,0,
632410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632607,,,,,,,,,,,,,,,,,,,,,33017,225142,627251,35019,0,1060,921489,744,2003,4462,657,0,0,17,7883,0,0,0,0,0,
632858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
