IDRSSD,RIADA491,RIADB904,RIADB905,RIADB906,RIADB907,RIADB909,RIADB910,RIADB911,RIADB912,RIADB947,RIADB948,RIADB949,RIADB950,RIADB951,RIADB952,RIADB953,RIADB954,RIADB955,RIADB956,RIADB957,RIADB958,RIADB959,RIADB960,RIADB961,RIADC058,RIADJ315,RIADJ316,
,NET TRUST INCOME (LOSS),PERSONAL TRUST AND AGENCY ACCOUNTS,EMPLOYEE BENEFIT-DEFINED CONTRIBUTN,EMPLOYEE BENEFIT-DEFINED BENEFIT,OTHER RETIREMENT ACCOUNTS,CUSTODY AND SAFEKEEPING ACCOUNTS,OTH FIDUCIARY/RELATED SERVICES INCME,PLUS:INTRACMPNY INCM CRDTS FOR FIDUC,FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS,"PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC",PRSNL TRST/AGCY ACCTS-GROSS LOSS NON,PERSONAL TRUST/AGCY ACCTS-RECOVERIES,"RETIREMT RLTD TRST,ETC-GROSS LOSS MN","RETIREMT RLTD TRST,ETC-GROSS LOS NON","RETIREMT RELATED TRST,ETC-RECOVERIES",INVMT MNGEMT AGCY ACCTS-GROS LOS MNG,INVMT MNGEMT AGCY ACCTS-GROS LOS NON,INVTMT MNGEMT AGCY ACCTS-RECOVERIES,OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN,OTH FID ACCTS/RLTD SVCS-GROS LOS NON,OTH FIDU ACCTS/RLTD SVCS-RECOVERIES,"TOT FIDU SETTLEMTS,ETC-GROS LOSS MN","TOT FIDU SETTLEMTS,ETC-GROS LOSS NON","TOT FIDU SETTLEMENTS,ETC-RECOVERIES",LESS: EXPENSES,FID REL SRVC INC INV MGMT ADVIS AGY ,FID REL SRVC INC FOUND ENDW TR AGY A,
51253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52719,27443,0,0,0,0,0,285774,0,,,,,,,,,,,,,,,,,258331,0,0,
52951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56351,,1264,56,0,294,38,12,,,,,,,,,,,,,,,,,,,1727,398,
56548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58243,,4326,2890,83,133,47,4,,,,,,,,,,,,,,,,,,,597,224,
58355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58971,,5567,207,0,1932,220,0,,,,,,,,,,,,,,,,,,,5972,526,
59316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60143,,13000,1000,2000,4000,8000,5000,,1000,,,,,,,,,,,,,,,,,20000,2000,
60330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61122,,981,209,267,1077,10,14,,,,,,,,,,,,,,,,,,,1771,114,
61355,,43,0,0,9,20,51,,,,,,,,,,,,,,,,,,,31,180,
61476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61832,,952,38,0,411,86,0,,,,,,,,,,,,,,,,,,,1756,378,
61953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62110,,3515,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,86,
62147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63069,,40022,1227,549,5985,968,0,,0,,,,,,,,,,,,,,,,,14302,2260,
63201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64150,,809,0,0,2,33,0,,,,,,,,,,,,,,,,,,,49,0,
64552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64730,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65205,,369,3,0,64,17,0,,,,,,,,,,,,,,,,,,,266,381,
65559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65858,,399,0,0,237,43,11,,,,,,,,,,,,,,,,,,,567,55,
66154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67870,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69333,,591,0,0,291,94,123,,,,,,,,,,,,,,,,,,,592,0,
69678,,1364,245,8,1407,76,0,,,,,,,,,,,,,,,,,,,2480,26,
70218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72258,,373,0,0,76,2,0,,,,,,,,,,,,,,,,,,,129,4,
72351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74140,,813,14,0,190,147,0,,,,,,,,,,,,,,,,,,,561,0,
74403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75633,,30806,316,53,17779,1018,1249,,0,,,,,,,,,,,,,,,,,76188,3594,
75651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77851,,971,1131,0,814,56,227,,,,,,,,,,,,,,,,,,,1745,153,
78157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
